"customerID","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges","Churn"
"7590-VHVEG",0,0,1,0,0.0138888888888889,"No","No phone service","DSL",0,1,0,0,0,0,"Month-to-month","Yes","Electronic check",0.115422885572139,0.00127509808446804,0
"5575-GNVDE",1,0,0,0,0.472222222222222,"Yes","No","DSL",1,0,1,0,0,0,"One year","No","Mailed check",0.385074626865672,0.215866605123471,0
"3668-QPYBK",1,0,0,0,0.0277777777777778,"Yes","No","DSL",1,1,0,0,0,0,"Month-to-month","Yes","Mailed check",0.354228855721393,0.010310408492961,1
"7795-CFOCW",1,0,0,0,0.625,"No","No phone service","DSL",1,0,1,1,0,0,"One year","No","Bank transfer (automatic)",0.239303482587065,0.210241172397877,0
"9237-HQITU",0,0,0,0,0.0277777777777778,"Yes","No","Fiber optic",0,0,0,0,0,0,"Month-to-month","Yes","Electronic check",0.521890547263682,0.0153300253865682,1
"9305-CDSKC",0,0,0,0,0.111111111111111,"Yes","Yes","Fiber optic",0,0,1,0,1,1,"Month-to-month","Yes","Electronic check",0.809950248756219,0.0925109623817217,1
"1452-KIOVK",1,0,0,1,0.305555555555556,"Yes","Yes","Fiber optic",0,1,0,0,1,0,"Month-to-month","Yes","Credit card (automatic)",0.704975124378109,0.222778675282714,0
"6713-OKOMC",0,0,0,0,0.138888888888889,"No","No phone service","DSL",1,0,0,0,0,0,"Month-to-month","No","Mailed check",0.114427860696517,0.0326678975305793,0
"7892-POOKP",0,0,1,0,0.388888888888889,"Yes","Yes","Fiber optic",0,0,1,1,1,1,"Month-to-month","Yes","Electronic check",0.861194029850746,0.349324948072929,1
"6388-TABGU",1,0,0,1,0.861111111111111,"Yes","No","DSL",1,1,0,0,0,0,"One year","No","Bank transfer (automatic)",0.377114427860696,0.400317332102469,0
"9763-GRSKD",1,0,1,1,0.180555555555556,"Yes","No","DSL",1,0,0,0,0,0,"Month-to-month","Yes","Mailed check",0.315422885572139,0.0656185091160859,0
"7469-LKBCI",1,0,0,0,0.222222222222222,"Yes","No","No",0,0,0,0,0,0,"Two year","No","Credit card (automatic)",0.00696517412935323,0.0355411954765751,0
"8091-TTVAX",1,0,1,0,0.805555555555556,"Yes","Yes","Fiber optic",0,0,1,0,1,1,"One year","No","Credit card (automatic)",0.816915422885572,0.653392568659128,0
"0280-XJGEX",1,0,0,0,0.680555555555556,"Yes","Yes","Fiber optic",0,1,1,0,1,1,"Month-to-month","Yes","Bank transfer (automatic)",0.850248756218905,0.578986845141934,1
"5129-JLPIS",1,0,0,0,0.347222222222222,"Yes","No","Fiber optic",1,0,1,1,1,1,"Month-to-month","Yes","Electronic check",0.868159203980099,0.307783291022386,0
"3655-SNQYZ",0,0,1,1,0.958333333333333,"Yes","Yes","Fiber optic",1,1,1,1,1,1,"Two year","No","Credit card (automatic)",0.945273631840796,0.908879529194553,0
"8191-XWSZG",0,0,0,0,0.722222222222222,"Yes","No","No",0,0,0,0,0,0,"One year","No","Mailed check",0.0238805970149254,0.115872374798061,0
"9959-WOFKT",1,0,0,1,0.986111111111111,"Yes","Yes","Fiber optic",1,0,1,0,1,1,"Two year","No","Bank transfer (automatic)",0.880099502487562,0.849694207246711,0
"4190-MFLUW",0,0,1,1,0.138888888888889,"Yes","No","DSL",0,0,1,1,0,0,"Month-to-month","No","Credit card (automatic)",0.367661691542289,0.0587987537502885,1
"4183-MYFRB",0,0,0,0,0.291666666666667,"Yes","No","Fiber optic",0,1,1,0,0,1,"Month-to-month","Yes","Electronic check",0.714427860696517,0.212797138241403,0
"8779-QRDMV",1,1,0,0,0.0138888888888889,"No","No phone service","DSL",0,0,1,0,0,1,"Month-to-month","Yes","Electronic check",0.212935323383085,0.00240595430417724,1
"1680-VDCWW",1,0,1,0,0.166666666666667,"Yes","No","No",0,0,0,0,0,0,"One year","No","Bank transfer (automatic)",0.0154228855721393,0.0211689360720055,0
"1066-JKSGK",1,0,0,0,0.0138888888888889,"Yes","No","No",0,0,0,0,0,0,"Month-to-month","No","Mailed check",0.0189054726368159,0.000155781213939534,1
"3638-WEABW",0,0,1,0,0.805555555555556,"Yes","Yes","DSL",0,1,0,1,0,0,"Two year","Yes","Credit card (automatic)",0.414427860696517,0.402296330486961,0
"6322-HRPFA",1,0,1,1,0.680555555555556,"Yes","No","DSL",1,1,0,1,0,0,"Month-to-month","No","Credit card (automatic)",0.411442786069652,0.340583891068544,0
"6865-JZNKO",0,0,0,0,0.416666666666667,"Yes","No","DSL",1,1,0,0,0,0,"Month-to-month","Yes","Bank transfer (automatic)",0.36865671641791,0.174451880913916,0
"6467-CHFZW",1,0,1,1,0.652777777777778,"Yes","Yes","Fiber optic",0,1,0,0,1,1,"Month-to-month","Yes","Electronic check",0.806965174129353,0.545851603969536,1
"8665-UTDHZ",1,0,1,1,0.0138888888888889,"No","No phone service","DSL",0,1,0,0,0,0,"Month-to-month","No","Electronic check",0.118905472636816,0.00131548580660051,1
"5248-YGIJN",1,0,1,0,1,"Yes","Yes","DSL",1,1,1,1,1,1,"Two year","Yes","Credit card (automatic)",0.716417910447761,0.732823678744519,0
"8773-HHUOZ",0,0,0,1,0.236111111111111,"Yes","No","DSL",0,0,0,0,1,1,"Month-to-month","Yes","Mailed check",0.462189054726368,0.123967228248327,1
"3841-NFECX",0,1,1,0,0.986111111111111,"Yes","Yes","Fiber optic",1,1,1,1,0,0,"Two year","Yes","Credit card (automatic)",0.777114427860697,0.778692591737826,0
"4929-XIHVW",1,1,1,0,0.0277777777777778,"Yes","No","Fiber optic",0,0,1,0,1,1,"Month-to-month","Yes","Credit card (automatic)",0.76865671641791,0.0187918301407801,0
"6827-IEAUQ",0,0,1,1,0.375,"Yes","No","DSL",1,1,1,1,0,0,"One year","No","Mailed check",0.476616915422886,0.214129933071775,0
"7310-EGVHZ",1,0,0,0,0.0138888888888889,"Yes","No","No",0,0,0,0,0,0,"Month-to-month","No","Bank transfer (automatic)",0.0194029850746269,0.000161550888529887,0
"3413-BMNZE",1,1,0,0,0.0138888888888889,"Yes","No","DSL",0,0,0,0,0,0,"Month-to-month","No","Bank transfer (automatic)",0.26865671641791,0.00305215785829679,0
"6234-RAAPL",0,0,1,1,1,"Yes","Yes","Fiber optic",1,1,0,1,1,0,"Two year","No","Bank transfer (automatic)",0.812437810945274,0.834629586891299,0
"6047-YHPVI",1,0,0,0,0.0694444444444444,"Yes","No","Fiber optic",0,0,0,0,0,0,"Month-to-month","Yes","Electronic check",0.511940298507463,0.0343987999076852,1
"6572-ADKRS",0,0,0,0,0.638888888888889,"Yes","No","Fiber optic",0,0,1,0,0,0,"Month-to-month","Yes","Credit card (automatic)",0.562686567164179,0.407281329333026,0
"5380-WJKOV",1,0,0,0,0.472222222222222,"Yes","Yes","Fiber optic",0,1,1,0,1,1,"Month-to-month","Yes","Electronic check",0.876616915422886,0.407390953150242,1
"8168-UQWWF",0,0,0,0,0.152777777777778,"Yes","Yes","Fiber optic",0,0,1,0,1,1,"Month-to-month","Yes","Bank transfer (automatic)",0.792039800995025,0.125386568197554,1
"8865-TNMNX",1,0,1,1,0.138888888888889,"Yes","No","DSL",0,1,0,0,0,0,"One year","No","Mailed check",0.311442786069652,0.0527232864066467,0
"9489-DEDVP",0,0,1,1,0.972222222222222,"Yes","Yes","DSL",1,1,0,0,1,0,"Two year","Yes","Credit card (automatic)",0.506965174129353,0.560068082160166,0
"9867-JCZSP",0,0,1,1,0.236111111111111,"Yes","No","No",0,0,0,0,0,0,"One year","No","Mailed check",0.0248756218905473,0.046093930302331,0
"4671-VJLCL",0,0,0,0,0.875,"Yes","Yes","DSL",1,1,1,1,1,0,"Two year","Yes","Credit card (automatic)",0.612935323383085,0.558810293099469,0
"4080-IIARD",0,0,1,0,0.180555555555556,"Yes","Yes","DSL",1,1,0,1,1,0,"Month-to-month","Yes","Electronic check",0.576616915422886,0.111083544888068,0
"3714-NTNFO",0,0,0,0,0.680555555555556,"Yes","Yes","Fiber optic",0,0,0,0,0,1,"Month-to-month","Yes","Electronic check",0.659203980099503,0.448638356796677,0
"5948-UJZLF",1,0,0,0,0.0277777777777778,"Yes","No","DSL",0,1,0,0,0,0,"Month-to-month","No","Mailed check",0.308457711442786,0.00902377105931225,0
"7760-OYPDY",0,0,0,0,0.0277777777777778,"Yes","No","Fiber optic",0,0,0,0,1,0,"Month-to-month","Yes","Electronic check",0.62089552238806,0.0144645741980152,1
"7639-LIAYI",1,0,0,0,0.722222222222222,"Yes","Yes","DSL",1,0,0,1,1,1,"Two year","Yes","Credit card (automatic)",0.611940298507463,0.484537272097854,0
"2954-PIBKO",0,0,1,1,0.958333333333333,"Yes","Yes","DSL",1,0,1,1,0,0,"Two year","Yes","Credit card (automatic)",0.456716417910448,0.48872605585045,0
"8012-SOUDQ",0,1,0,0,0.597222222222222,"Yes","Yes","Fiber optic",0,1,0,0,1,0,"Month-to-month","Yes","Electronic check",0.716417910447761,0.440797369028387,0
"9420-LOJKX",0,0,0,0,0.208333333333333,"Yes","No","Fiber optic",1,1,0,0,1,1,"Month-to-month","Yes","Credit card (automatic)",0.804477611940298,0.162427879067621,1
